com,name_com,p90_tmax,p95_tmax,p99_tmax,Comúna crítica,Partos Pretérmino,Partos Totales,%
7406,San Javier,32.3,33.1,34.5,1,792,17062,4.6
7407,Villa Alegre,32.2,33.0,34.2,1,257,5213,4.9
7408,Yerbas Buenas,31.9,32.6,33.9,1,346,6496,5.3
8104,Florida,29.8,31.0,33.1,1,198,3535,5.6
8105,Hualqui,29.8,31.0,33.3,1,485,8371,5.8
8109,Santa Juana,29.4,30.6,32.9,1,291,5148,5.7
8301,Los Angeles,30.9,32.1,34.1,1,4470,83455,5.4
8303,Cabrero,31.2,32.3,34.2,1,494,10457,4.7
8304,Laja,31.4,32.6,34.6,1,474,9760,4.9
8306,Nacimiento,29.8,31.0,33.0,1,533,11987,4.4
8307,Negrete,31.2,32.4,34.5,1,156,3614,4.3
8310,San Rosendo,31.2,32.3,34.5,1,52,1497,3.5
8313,Yumbel,31.2,32.3,34.3,1,376,7102,5.3
16101,Chillan,31.9,32.9,34.7,1,3629,74520,4.9
16102,Bulnes,31.6,32.6,34.5,1,395,8502,4.6
16103,Chillan Viejo,32.0,33.0,34.9,1,406,8223,4.9
16105,Pemuco,29.9,30.9,32.9,1,155,3059,5.1
16107,Quillon,31.3,32.3,34.4,1,236,5258,4.5
16108,San Ignacio,31.0,32.0,33.9,1,244,5370,4.5
16204,Ninhue,31.2,32.2,34.0,1,80,1673,4.8
16205,Portezuelo,31.0,32.0,33.7,1,79,1847,4.3
16206,Ranquil,30.3,31.4,33.3,1,83,1732,4.8
16301,San Carlos,31.9,32.8,34.5,1,1080,20427,5.3
16303,Niquen,31.9,32.7,34.3,1,201,3481,5.8
16305,San Nicolas,32.2,33.1,34.9,1,168,3273,5.1
